2025-04-04 22:47:36.502 | INFO     | __main__:main:627 - 开始分析数据库...
2025-04-04 22:47:36.502 | INFO     | __main__:main:631 - 数据库路径: /Users/aladam/Desktop/langgraph-demo/data/account_data.db
2025-04-04 22:47:36.505 | INFO     | __main__:__init__:114 - 已连接到数据库: /Users/aladam/Desktop/langgraph-demo/data/account_data.db
2025-04-04 22:47:36.505 | INFO     | __main__:main:636 - 已初始化数据分析器，连接到数据库: /Users/aladam/Desktop/langgraph-demo/data/account_data.db
2025-04-04 22:47:36.512 | INFO     | __main__:main:640 - 已准备数据用于大模型分析
2025-04-04 22:47:36.512 | INFO     | __main__:__init__:411 - 初始化大模型分析器，使用模型: deepseek-chat
2025-04-04 22:47:36.512 | INFO     | __main__:main:644 - 已初始化大模型分析器
2025-04-04 22:47:36.513 | INFO     | __main__:main:647 - 开始使用大模型分析数据...
2025-04-04 22:47:36.513 | INFO     | __main__:analyze_data:423 - 调用大模型API...
2025-04-04 22:47:36.513 | DEBUG    | __main__:analyze_data:448 - API请求: https://api.siliconflow.cn/v1/chat/completions
2025-04-04 22:47:36.513 | DEBUG    | __main__:analyze_data:449 - 请求头: {'Content-Type': 'application/json', 'Authorization': 'Bearer sk-***'}
2025-04-04 22:47:36.513 | DEBUG    | __main__:analyze_data:450 - 请求体: {'model': 'deepseek-chat', 'messages': [{'role': 'system', 'content': '你是一个专业的数据分析师，擅长分析数据库结构和内容，提供深入的见解。'}, {'role': 'user', 'content': '\n        请分析以下数据库结构和样本数据，提供深入的见解和建议。\n        \n        ## 数据库结构\n        \n## 样本数据\n\n### 表: accounts (前1条记录)\n[\n  {\n    "id": "1",\n    "name": "时间序列测试账户",\n    "created_at": "2025-04-03 01:06:58",\n    "updated_at": "2025-04-03 01:06:58",\n    "status": "active",\n    "metadata": {\n      "description": "包含时间序列数据的测试账户",\n      "created_at": 1743642418.129614\n    }\n  }\n]\n\n### 表: transactions (前5条记录)\n[\n  {\n    "id": "e6fa4dd4-9f30-41af-9f35-62fde90f31d0",\n    "account_id": "1",\n    "amount": 1.0,\n    "type": "data_entry",\n    "timestamp": "2025-04-03 01:06:58",\n    "description": "数据记录 - 2025-01-01",\n    "metadata": {\n      "date": "2025-01-01",\n      "metric1": 1,\n      "metric2": 0,\n      "metric3": 1.6,\n      "metric4": 0,\n      "metric5": 0,\n      "metric6": 0\n    }\n  },\n  {\n    "id": "a2b13a54-c178-40cd-9be7-903062281e8c",\n    "account_id": "1",\n    "amount": 1.0,\n    "type": "data_entry",\n    "timestamp": "2025-04-03 01:06:58",\n    "description": "数据记录 - 2025-01-11",\n    "metadata": {\n      "date": "2025-01-11",\n      "metric1": 1,\n      "metric2": 0,\n      "metric3": 1.6,\n      "metric4": 0,\n      "metric5": 0,\n      "metric6": 0\n    }\n  },\n  {\n    "id": "d43adaed-bbc7-4dae-b8e4-25d122b71617",\n    "account_id": "1",\n    "amount": 1.0,\n    "type": "data_entry",\n    "timestamp": "2025-04-03 01:06:58",\n    "description": "数据记录 - 2025-01-21",\n    "metadata": {\n      "date": "2025-01-21",\n      "metric1": 1,\n      "metric2": 0,\n      "metric3": 1.6,\n      "metric4": 0,\n      "metric5": 0,\n      "metric6": 0\n    }\n  },\n  {\n    "id": "b0f841b0-8fbf-4bf5-82d7-d4d060953c51",\n    "account_id": "1",\n    "amount": 1.0,\n    "type": "data_entry",\n    "timestamp": "2025-04-03 01:06:58",\n    "description": "数据记录 - 2025-02-01",\n    "metadata": {\n      "date": "2025-02-01",\n      "metric1": 1,\n      "metric2": 0,\n      "metric3": 1.6,\n      "metric4": 0,\n      "metric5": 0,\n      "metric6": 0\n    }\n  },\n  {\n    "id": "e11caa44-5fd0-4f87-ad79-0f7add0d4572",\n    "account_id": "1",\n    "amount": 1.0,\n    "type": "data_entry",\n    "timestamp": "2025-04-03 01:06:58",\n    "description": "数据记录 - 2025-02-11",\n    "metadata": {\n      "date": "2025-02-11",\n      "metric1": 1,\n      "metric2": 0,\n      "metric3": 2,\n      "metric4": 0,\n      "metric5": 0,\n      "metric6": 0\n    }\n  }\n]\n\n### 表: analysis_results (前1条记录)\n[\n  {\n    "id": "06faa5ae-2108-451a-bb0b-2c75aee6f30a",\n    "account_id": "1",\n    "timestamp": "2025-04-03 01:06:58",\n    "result_type": "initial_assessment",\n    "result_data": "这是账户1的初始数据分析。数据显示在2025年3月开始有显著变化，多个指标从0上升到较高值。",\n    "metadata": {\n      "created_at": 1743642418.1469162,\n      "data_points": 10,\n      "date_range": "2025-01-01 至 2025-04-01"\n    }\n  }\n]\n\n        ## 分析要求\n        \n        请提供以下分析:\n        \n        1. 数据库结构分析：评估表结构设计，包括表关系、主键、外键等\n        2. 数据质量分析：评估数据的完整性、一致性和有效性\n        3. 数据模式和趋势：识别数据中的模式、趋势和异常\n        4. 业务见解：基于数据提供业务相关的见解和建议\n        5. 改进建议：针对数据库设计和数据质量的改进建议\n        \n        请以结构化的方式提供你的分析，使用标题和小节组织内容。\n        '}], 'temperature': 0.3, 'max_tokens': 4000}
2025-04-04 22:47:36.671 | ERROR    | __main__:analyze_data:475 - API请求失败: 400 Client Error: Bad Request for url: https://api.siliconflow.cn/v1/chat/completions
2025-04-04 22:47:36.671 | ERROR    | __main__:analyze_data:481 - API错误详情: {'code': 20012, 'message': 'Model does not exist. Please check it carefully.', 'data': None}
2025-04-04 22:47:36.671 | ERROR    | __main__:main:670 - 大模型分析失败: 400 Client Error: Bad Request for url: https://api.siliconflow.cn/v1/chat/completions
2025-04-04 22:47:36.672 | INFO     | __main__:main:675 - 开始分析账户 1...
2025-04-04 22:47:36.673 | ERROR    | __main__:generate_transaction_chart:315 - 生成图表时出错: could not convert string to float: '2025-04-03 01:06:58'
2025-04-04 22:47:36.673 | INFO     | __main__:analyze_data:423 - 调用大模型API...
2025-04-04 22:47:36.673 | DEBUG    | __main__:analyze_data:448 - API请求: https://api.siliconflow.cn/v1/chat/completions
2025-04-04 22:47:36.673 | DEBUG    | __main__:analyze_data:449 - 请求头: {'Content-Type': 'application/json', 'Authorization': 'Bearer sk-***'}
